Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11656063),Anthony Davis,11656063,PF/C/F/UTIL,11600,SA@NO 11/19/2018 08:00PM ET,NO,59.48
SF/PF,Giannis Antetokounmpo (11656067),Giannis Antetokounmpo,11656067,SF/PF/F/UTIL,11300,DEN@MIL 11/19/2018 08:00PM ET,MIL,54.54
C,Joel Embiid (11656071),Joel Embiid,11656071,C/UTIL,11100,PHO@PHI 11/19/2018 07:00PM ET,PHI,55.31
SF/PF,Paul George (11656073),Paul George,11656073,SF/PF/F/UTIL,10400,OKC@SAC 11/19/2018 10:00PM ET,OKC,47.55
PG,Russell Westbrook (11656077),Russell Westbrook,11656077,PG/G/UTIL,10200,OKC@SAC 11/19/2018 10:00PM ET,OKC,51.29
PF/C,Blake Griffin (11656080),Blake Griffin,11656080,PF/C/F/UTIL,10100,CLE@DET 11/19/2018 07:00PM ET,DET,47.92
PG,Kemba Walker (11656084),Kemba Walker,11656084,PG/G/UTIL,9900,BOS@CHA 11/19/2018 07:00PM ET,CHA,47.12
C,Andre Drummond (11656087),Andre Drummond,11656087,C/UTIL,9700,CLE@DET 11/19/2018 07:00PM ET,DET,46.75
C,Nikola Jokic (11656089),Nikola Jokic,11656089,C/UTIL,9500,DEN@MIL 11/19/2018 08:00PM ET,DEN,45.83
PG/SG,Victor Oladipo (11656091),Victor Oladipo,11656091,PG/SG/G/UTIL,9300,UTA@IND 11/19/2018 07:00PM ET,IND,41.31
SG/SF,DeMar DeRozan (11656095),DeMar DeRozan,11656095,SG/SF/F/G/UTIL,9100,SA@NO 11/19/2018 08:00PM ET,SA,44.73
PG/SF,Ben Simmons (11656100),Ben Simmons,11656100,PG/SF/F/G/UTIL,8900,PHO@PHI 11/19/2018 07:00PM ET,PHI,41.63
PG/SG,Jrue Holiday (11656105),Jrue Holiday,11656105,PG/SG/G/UTIL,8700,SA@NO 11/19/2018 08:00PM ET,NO,42.94
PG,Kyrie Irving (11656109),Kyrie Irving,11656109,PG/G/UTIL,8400,BOS@CHA 11/19/2018 07:00PM ET,BOS,41.38
PF/C,Kevin Love (11656112),Kevin Love,11656112,PF/C/F/UTIL,8200,CLE@DET 11/19/2018 07:00PM ET,CLE,42.88
PG/SG,Dennis Schroder (11656116),Dennis Schroder,11656116,PG/SG/G/UTIL,8100,OKC@SAC 11/19/2018 10:00PM ET,OKC,33.47
PF/C,LaMarcus Aldridge (11656120),LaMarcus Aldridge,11656120,PF/C/F/UTIL,8000,SA@NO 11/19/2018 08:00PM ET,SA,38.83
SG/SF,Jimmy Butler (11656124),Jimmy Butler,11656124,SG/SF/F/G/UTIL,7900,PHO@PHI 11/19/2018 07:00PM ET,PHI,39.23
SF/PF,Tobias Harris (11656129),Tobias Harris,11656129,SF/PF/F/UTIL,7800,LAC@ATL 11/19/2018 07:30PM ET,LAC,37.82
PG/SG,Devin Booker (11656133),Devin Booker,11656133,PG/SG/G/UTIL,7700,PHO@PHI 11/19/2018 07:00PM ET,PHO,39.88
C,Marc Gasol (11656137),Marc Gasol,11656137,C/UTIL,7600,DAL@MEM 11/19/2018 08:00PM ET,MEM,40.22
C,Steven Adams (11656139),Steven Adams,11656139,C/UTIL,7500,OKC@SAC 11/19/2018 10:00PM ET,OKC,36.16
SG/SF,Khris Middleton (11656141),Khris Middleton,11656141,SG/SF/F/G/UTIL,7400,DEN@MIL 11/19/2018 08:00PM ET,MIL,36.3
PG/SG,Donovan Mitchell (11656146),Donovan Mitchell,11656146,PG/SG/G/UTIL,7300,UTA@IND 11/19/2018 07:00PM ET,UTA,35.5
PG,Mike Conley (11656150),Mike Conley,11656150,PG/G/UTIL,7200,DAL@MEM 11/19/2018 08:00PM ET,MEM,34.23
SF/PF,Nikola Mirotic (11656153),Nikola Mirotic,11656153,SF/PF/F/UTIL,7100,SA@NO 11/19/2018 08:00PM ET,NO,40.23
C,Rudy Gobert (11656157),Rudy Gobert,11656157,C/UTIL,7000,UTA@IND 11/19/2018 07:00PM ET,UTA,40.33
PG/SG,Eric Bledsoe (11656159),Eric Bledsoe,11656159,PG/SG/G/UTIL,6900,DEN@MIL 11/19/2018 08:00PM ET,MIL,33.15
PF/C,Julius Randle (11656163),Julius Randle,11656163,PF/C/F/UTIL,6800,SA@NO 11/19/2018 08:00PM ET,NO,33.23
PG/SG,Jamal Murray (11656167),Jamal Murray,11656167,PG/SG/G/UTIL,6700,DEN@MIL 11/19/2018 08:00PM ET,DEN,30.45
PG,Luka Doncic (11656171),Luka Doncic,11656171,PG/G/UTIL,6600,DAL@MEM 11/19/2018 08:00PM ET,DAL,35.52
PF/C,Montrezl Harrell (11656174),Montrezl Harrell,11656174,PF/C/F/UTIL,6600,LAC@ATL 11/19/2018 07:30PM ET,LAC,29.98
C,Deandre Ayton (11656178),Deandre Ayton,11656178,C/UTIL,6500,PHO@PHI 11/19/2018 07:00PM ET,PHO,36.12
C,DeAndre Jordan (11656188),DeAndre Jordan,11656188,C/UTIL,6400,DAL@MEM 11/19/2018 08:00PM ET,DAL,34.07
SF/PF,T.J. Warren (11656180),T.J. Warren,11656180,SF/PF/F/UTIL,6400,PHO@PHI 11/19/2018 07:00PM ET,PHO,28.48
PF/C,Domantas Sabonis (11656184),Domantas Sabonis,11656184,PF/C/F/UTIL,6300,UTA@IND 11/19/2018 07:00PM ET,IND,31.68
PG,Trae Young (11656190),Trae Young,11656190,PG/G/UTIL,6300,LAC@ATL 11/19/2018 07:30PM ET,ATL,32.83
PG/SG,Lou Williams (11656196),Lou Williams,11656196,PG/SG/G/UTIL,6200,LAC@ATL 11/19/2018 07:30PM ET,LAC,29.4
SF/PF,Danilo Gallinari (11656200),Danilo Gallinari,11656200,SF/PF/F/UTIL,6200,LAC@ATL 11/19/2018 07:30PM ET,LAC,31.3
SG,Gary Harris (11656204),Gary Harris,11656204,SG/G/UTIL,6100,DEN@MIL 11/19/2018 08:00PM ET,DEN,30.28
PF/C,Paul Millsap (11656211),Paul Millsap,11656211,PF/C/F/UTIL,6100,DEN@MIL 11/19/2018 08:00PM ET,DEN,28.39
PG,De'Aaron Fox (11656193),De'Aaron Fox,11656193,PG/G/UTIL,6100,OKC@SAC 11/19/2018 10:00PM ET,SAC,37.92
PF/C,Al Horford (11656207),Al Horford,11656207,PF/C/F/UTIL,6000,BOS@CHA 11/19/2018 07:00PM ET,BOS,29.48
SF/PF,Jayson Tatum (11656215),Jayson Tatum,11656215,SF/PF/F/UTIL,6000,BOS@CHA 11/19/2018 07:00PM ET,BOS,30.64
SG/SF,Gordon Hayward (11656225),Gordon Hayward,11656225,SG/SF/F/G/UTIL,5900,BOS@CHA 11/19/2018 07:00PM ET,BOS,24.15
PF,Jaren Jackson Jr. (11656219),Jaren Jackson Jr.,11656219,PF/F/UTIL,5800,DAL@MEM 11/19/2018 08:00PM ET,MEM,26.07
SF,Taurean Prince (11656222),Taurean Prince,11656222,SF/F/UTIL,5800,LAC@ATL 11/19/2018 07:30PM ET,ATL,28.81
C,Willie Cauley-Stein (11656239),Willie Cauley-Stein,11656239,C/UTIL,5800,OKC@SAC 11/19/2018 10:00PM ET,SAC,32.14
PG,Ricky Rubio (11656246),Ricky Rubio,11656246,PG/G/UTIL,5700,UTA@IND 11/19/2018 07:00PM ET,UTA,28.36
PF/C,Larry Nance Jr. (11656230),Larry Nance Jr.,11656230,PF/C/F/UTIL,5700,CLE@DET 11/19/2018 07:00PM ET,CLE,23.31
SG/SF,Kent Bazemore (11656234),Kent Bazemore,11656234,SG/SF/F/G/UTIL,5700,LAC@ATL 11/19/2018 07:30PM ET,ATL,27.75
PG,Elfrid Payton (11656264),Elfrid Payton,11656264,PG/G/UTIL,5600,SA@NO 11/19/2018 08:00PM ET,NO,26.12
SG/SF,Buddy Hield (11656241),Buddy Hield,11656241,SG/SF/F/G/UTIL,5600,OKC@SAC 11/19/2018 10:00PM ET,SAC,32.36
SG/SF,Will Barton (11656251),Will Barton,11656251,SG/SF/F/G/UTIL,5500,DEN@MIL 11/19/2018 08:00PM ET,DEN,30.75
SF/PF,Harrison Barnes (11656256),Harrison Barnes,11656256,SF/PF/F/UTIL,5500,DAL@MEM 11/19/2018 08:00PM ET,DAL,27.09
C,Tristan Thompson (11656249),Tristan Thompson,11656249,C/UTIL,5500,CLE@DET 11/19/2018 07:00PM ET,CLE,28.84
PG/SG,Reggie Jackson (11656260),Reggie Jackson,11656260,PG/SG/G/UTIL,5500,CLE@DET 11/19/2018 07:00PM ET,DET,25.75
SG/SF,Joe Ingles (11656272),Joe Ingles,11656272,SG/SF/F/G/UTIL,5400,UTA@IND 11/19/2018 07:00PM ET,UTA,28.38
PG,Shai Gilgeous-Alexander (11656281),Shai Gilgeous-Alexander,11656281,PG/G/UTIL,5300,LAC@ATL 11/19/2018 07:30PM ET,LAC,20.5
SF/PF,Rudy Gay (11656277),Rudy Gay,11656277,SF/PF/F/UTIL,5300,SA@NO 11/19/2018 08:00PM ET,SA,29.66
SG/SF,JJ Redick (11656267),JJ Redick,11656267,SG/SF/F/G/UTIL,5300,PHO@PHI 11/19/2018 07:00PM ET,PHI,27.57
C,Brook Lopez (11656284),Brook Lopez,11656284,C/UTIL,5200,DEN@MIL 11/19/2018 08:00PM ET,MIL,23.72
SF/PF,Marcus Morris (11656286),Marcus Morris,11656286,SF/PF/F/UTIL,5200,BOS@CHA 11/19/2018 07:00PM ET,BOS,25.25
PG/SG,Jordan Clarkson (11656290),Jordan Clarkson,11656290,PG/SG/G/UTIL,5200,CLE@DET 11/19/2018 07:00PM ET,CLE,23.57
SG/SF,Jeremy Lamb (11656302),Jeremy Lamb,11656302,SG/SF/F/G/UTIL,5100,BOS@CHA 11/19/2018 07:00PM ET,CHA,25.97
PG,Collin Sexton (11656294),Collin Sexton,11656294,PG/G/UTIL,5100,CLE@DET 11/19/2018 07:00PM ET,CLE,19.91
PG,Dennis Smith Jr. (11656307),Dennis Smith Jr.,11656307,PG/G/UTIL,5000,DAL@MEM 11/19/2018 08:00PM ET,DAL,25.96
SG/SF,E'Twaun Moore (11656297),E'Twaun Moore,11656297,SG/SF/F/G/UTIL,5000,SA@NO 11/19/2018 08:00PM ET,NO,23.83
PG,Darren Collison (11656310),Darren Collison,11656310,PG/G/UTIL,4900,UTA@IND 11/19/2018 07:00PM ET,IND,20.81
SG/SF,Nicolas Batum (11656313),Nicolas Batum,11656313,SG/SF/F/G/UTIL,4900,BOS@CHA 11/19/2018 07:00PM ET,CHA,25.1
SG/SF,Wesley Matthews (11656318),Wesley Matthews,11656318,SG/SF/F/G/UTIL,4900,DAL@MEM 11/19/2018 08:00PM ET,DAL,25.92
PG/SG,Patrick Beverley (11656323),Patrick Beverley,11656323,PG/SG/G/UTIL,4900,LAC@ATL 11/19/2018 07:30PM ET,LAC,21.33
SF/PF,Jerami Grant (11656327),Jerami Grant,11656327,SF/PF/F/UTIL,4900,OKC@SAC 11/19/2018 10:00PM ET,OKC,24.12
SF/PF,Juancho Hernangomez (11656335),Juancho Hernangomez,11656335,SF/PF/F/UTIL,4800,DEN@MIL 11/19/2018 08:00PM ET,DEN,18.32
C,John Collins (11656339),John Collins,11656339,C/UTIL,4800,LAC@ATL 11/19/2018 07:30PM ET,ATL,15
PG/SG,Malcolm Brogdon (11656331),Malcolm Brogdon,11656331,PG/SG/G/UTIL,4700,DEN@MIL 11/19/2018 08:00PM ET,MIL,25.1
C,Myles Turner (11656350),Myles Turner,11656350,C/UTIL,4700,UTA@IND 11/19/2018 07:00PM ET,IND,24.83
SG/SF,Bojan Bogdanovic (11656341),Bojan Bogdanovic,11656341,SG/SF/F/G/UTIL,4600,UTA@IND 11/19/2018 07:00PM ET,IND,23.09
PF/C,Derrick Favors (11656346),Derrick Favors,11656346,PF/C/F/UTIL,4600,UTA@IND 11/19/2018 07:00PM ET,UTA,25.03
PG/SF,Kyle Anderson (11656352),Kyle Anderson,11656352,PG/SF/F/G/UTIL,4600,DAL@MEM 11/19/2018 08:00PM ET,MEM,20.75
SF,Cedi Osman (11656364),Cedi Osman,11656364,SF/F/UTIL,4500,CLE@DET 11/19/2018 07:00PM ET,CLE,22.52
SG/SF,Rodney Hood (11656375),Rodney Hood,11656375,SG/SF/F/G/UTIL,4500,CLE@DET 11/19/2018 07:00PM ET,CLE,21.27
SF/PF,Trevor Ariza (11656367),Trevor Ariza,11656367,SF/PF/F/UTIL,4500,PHO@PHI 11/19/2018 07:00PM ET,PHO,24.69
SF/PF,Nemanja Bjelica (11656371),Nemanja Bjelica,11656371,SF/PF/F/UTIL,4500,OKC@SAC 11/19/2018 10:00PM ET,SAC,25.86
PG/SG,J.J. Barea (11656360),J.J. Barea,11656360,PG/SG/G/UTIL,4400,DAL@MEM 11/19/2018 08:00PM ET,DAL,22.12
SF/PF,Sam Dekker (11656380),Sam Dekker,11656380,SF/PF/F/UTIL,4400,CLE@DET 11/19/2018 07:00PM ET,CLE,14.86
PG,Isaiah Thomas (11656357),Isaiah Thomas,11656357,PG/G/UTIL,4300,DEN@MIL 11/19/2018 08:00PM ET,DEN,0
SG/SF,Garrett Temple (11656384),Garrett Temple,11656384,SG/SF/F/G/UTIL,4300,DAL@MEM 11/19/2018 08:00PM ET,MEM,21.43
PF/C,Dirk Nowitzki (11656389),Dirk Nowitzki,11656389,PF/C/F/UTIL,4300,DAL@MEM 11/19/2018 08:00PM ET,DAL,0
PG,Derrick White (11656415),Derrick White,11656415,PG/G/UTIL,4300,SA@NO 11/19/2018 08:00PM ET,SA,15.92
SF/PF,Jae Crowder (11656396),Jae Crowder,11656396,SF/PF/F/UTIL,4200,UTA@IND 11/19/2018 07:00PM ET,UTA,23.95
SF,Miles Bridges (11656400),Miles Bridges,11656400,SF/F/UTIL,4200,BOS@CHA 11/19/2018 07:00PM ET,CHA,16.59
SG/SF,Jaylen Brown (11656403),Jaylen Brown,11656403,SG/SF/F/G/UTIL,4200,BOS@CHA 11/19/2018 07:00PM ET,BOS,19.97
PG,Shelvin Mack (11656408),Shelvin Mack,11656408,PG/G/UTIL,4200,DAL@MEM 11/19/2018 08:00PM ET,MEM,22.73
PG/SG,Jeremy Lin (11656411),Jeremy Lin,11656411,PG/SG/G/UTIL,4200,LAC@ATL 11/19/2018 07:30PM ET,ATL,18.69
C,Alex Len (11656423),Alex Len,11656423,C/UTIL,4200,LAC@ATL 11/19/2018 07:30PM ET,ATL,21.06
PG,Monte Morris (11656393),Monte Morris,11656393,PG/G/UTIL,4100,DEN@MIL 11/19/2018 08:00PM ET,DEN,20.06
SG/SF,Tyreke Evans (11656418),Tyreke Evans,11656418,SG/SF/F/G/UTIL,4100,UTA@IND 11/19/2018 07:00PM ET,IND,20.85
SF/PF,JaMychal Green (11656444),JaMychal Green,11656444,SF/PF/F/UTIL,4100,DAL@MEM 11/19/2018 08:00PM ET,MEM,22.5
PG/SG,Bryn Forbes (11656425),Bryn Forbes,11656425,PG/SG/G/UTIL,4100,SA@NO 11/19/2018 08:00PM ET,SA,20.55
SG/SF,Pat Connaughton (11656429),Pat Connaughton,11656429,SG/SF/F/G/UTIL,4000,DEN@MIL 11/19/2018 08:00PM ET,MIL,17.88
SF/PF,Trey Lyles (11656434),Trey Lyles,11656434,SF/PF/F/UTIL,4000,DEN@MIL 11/19/2018 08:00PM ET,DEN,21.17
SF/PF,Thaddeus Young (11656438),Thaddeus Young,11656438,SF/PF/F/UTIL,4000,UTA@IND 11/19/2018 07:00PM ET,IND,21.16
C,Cody Zeller (11656442),Cody Zeller,11656442,C/UTIL,4000,BOS@CHA 11/19/2018 07:00PM ET,CHA,21.15
SG/SF,Reggie Bullock (11656448),Reggie Bullock,11656448,SG/SF/F/G/UTIL,4000,CLE@DET 11/19/2018 07:00PM ET,DET,18.15
PG/SG,George Hill (11656453),George Hill,11656453,PG/SG/G/UTIL,4000,CLE@DET 11/19/2018 07:00PM ET,CLE,21.48
PF/C,Dewayne Dedmon (11656457),Dewayne Dedmon,11656457,PF/C/F/UTIL,4000,LAC@ATL 11/19/2018 07:30PM ET,ATL,20.72
C,Pau Gasol (11656461),Pau Gasol,11656461,C/UTIL,4000,SA@NO 11/19/2018 08:00PM ET,SA,21.64
SF,Mikal Bridges (11656463),Mikal Bridges,11656463,SF/F/UTIL,4000,PHO@PHI 11/19/2018 07:00PM ET,PHO,15.54
SG/SF,Bogdan Bogdanovic (11656466),Bogdan Bogdanovic,11656466,SG/SF/F/G/UTIL,4000,OKC@SAC 11/19/2018 10:00PM ET,SAC,20.3
PG,Cory Joseph (11656471),Cory Joseph,11656471,PG/G/UTIL,3900,UTA@IND 11/19/2018 07:00PM ET,IND,18.77
SF/PF,Marvin Williams (11656474),Marvin Williams,11656474,SF/PF/F/UTIL,3900,BOS@CHA 11/19/2018 07:00PM ET,CHA,17.95
PG/SG,Terry Rozier (11656478),Terry Rozier,11656478,PG/SG/G/UTIL,3900,BOS@CHA 11/19/2018 07:00PM ET,BOS,18.94
PG,Ish Smith (11656482),Ish Smith,11656482,PG/G/UTIL,3900,CLE@DET 11/19/2018 07:00PM ET,DET,19.85
PG/SG,Patty Mills (11656485),Patty Mills,11656485,PG/SG/G/UTIL,3900,SA@NO 11/19/2018 08:00PM ET,SA,19.87
PG,Isaiah Canaan (11656489),Isaiah Canaan,11656489,PG/G/UTIL,3900,PHO@PHI 11/19/2018 07:00PM ET,PHO,19.41
PF/C,Mike Muscala (11656510),Mike Muscala,11656510,PF/C/F/UTIL,3900,PHO@PHI 11/19/2018 07:00PM ET,PHI,16.60
PF,Marvin Bagley III (11656492),Marvin Bagley III,11656492,PF/F/UTIL,3900,OKC@SAC 11/19/2018 10:00PM ET,SAC,22.45
PG/SG,Langston Galloway (11656495),Langston Galloway,11656495,PG/SG/G/UTIL,3800,CLE@DET 11/19/2018 07:00PM ET,DET,16.58
SG/SF,J.R. Smith (11656499),J.R. Smith,11656499,SG/SF/F/G/UTIL,3800,CLE@DET 11/19/2018 07:00PM ET,CLE,15.45
PF,Omari Spellman (11656504),Omari Spellman,11656504,PF/F/UTIL,3800,LAC@ATL 11/19/2018 07:30PM ET,ATL,18.13
SF,DeAndre' Bembry (11656507),DeAndre' Bembry,11656507,SF/F/UTIL,3800,LAC@ATL 11/19/2018 07:30PM ET,ATL,20.58
SG,Malik Monk (11656514),Malik Monk,11656514,SG/G/UTIL,3700,BOS@CHA 11/19/2018 07:00PM ET,CHA,19.35
SF/PF,Michael Kidd-Gilchrist (11656517),Michael Kidd-Gilchrist,11656517,SF/PF/F/UTIL,3700,BOS@CHA 11/19/2018 07:00PM ET,CHA,21.06
PG,Tony Parker (11656529),Tony Parker,11656529,PG/G/UTIL,3700,BOS@CHA 11/19/2018 07:00PM ET,CHA,19.23
SF/PF,Stanley Johnson (11656521),Stanley Johnson,11656521,SF/PF/F/UTIL,3700,CLE@DET 11/19/2018 07:00PM ET,DET,18.38
C,Boban Marjanovic (11656539),Boban Marjanovic,11656539,C/UTIL,3700,LAC@ATL 11/19/2018 07:30PM ET,LAC,19.30
PF/C,Ersan Ilyasova (11656525),Ersan Ilyasova,11656525,PF/C/F/UTIL,3600,DEN@MIL 11/19/2018 08:00PM ET,MIL,19.18
PG/SG,Marcus Smart (11656532),Marcus Smart,11656532,PG/SG/G/UTIL,3600,BOS@CHA 11/19/2018 07:00PM ET,BOS,17.98
SF,Dorian Finney-Smith (11656536),Dorian Finney-Smith,11656536,SF/F/UTIL,3600,DAL@MEM 11/19/2018 08:00PM ET,DAL,18.72
SF/PF,Glenn Robinson III (11656541),Glenn Robinson III,11656541,SF/PF/F/UTIL,3500,CLE@DET 11/19/2018 07:00PM ET,DET,9.92
SG/SF,David Nwaba (11656545),David Nwaba,11656545,SG/SF/F/G/UTIL,3500,CLE@DET 11/19/2018 07:00PM ET,CLE,11
C,Marcin Gortat (11656550),Marcin Gortat,11656550,C/UTIL,3500,LAC@ATL 11/19/2018 07:30PM ET,LAC,15.56
SG,Avery Bradley (11656552),Avery Bradley,11656552,SG/G/UTIL,3500,LAC@ATL 11/19/2018 07:30PM ET,LAC,13.42
SG/SF,Marco Belinelli (11656555),Marco Belinelli,11656555,SG/SF/F/G/UTIL,3500,SA@NO 11/19/2018 08:00PM ET,SA,17.35
SF/PF,Wilson Chandler (11656560),Wilson Chandler,11656560,SF/PF/F/UTIL,3500,PHO@PHI 11/19/2018 07:00PM ET,PHI,11.96
SG/SF,Iman Shumpert (11656564),Iman Shumpert,11656564,SG/SF/F/G/UTIL,3500,OKC@SAC 11/19/2018 10:00PM ET,SAC,18.86
C,Guillermo Hernangomez (11656569),Guillermo Hernangomez,11656569,C/UTIL,3400,BOS@CHA 11/19/2018 07:00PM ET,CHA,16.73
PF/C,Dwight Powell (11656571),Dwight Powell,11656571,PF/C/F/UTIL,3400,DAL@MEM 11/19/2018 08:00PM ET,DAL,17.67
SF/PF,Mike Scott (11656575),Mike Scott,11656575,SF/PF/F/UTIL,3400,LAC@ATL 11/19/2018 07:30PM ET,LAC,11.65
SF/PF,Dante Cunningham (11656579),Dante Cunningham,11656579,SF/PF/F/UTIL,3400,SA@NO 11/19/2018 08:00PM ET,SA,13.35
SF/PF,Wesley Johnson (11656583),Wesley Johnson,11656583,SF/PF/F/UTIL,3400,SA@NO 11/19/2018 08:00PM ET,NO,13.52
SF,Josh Jackson (11656587),Josh Jackson,11656587,SF/F/UTIL,3400,PHO@PHI 11/19/2018 07:00PM ET,PHO,13.98
PG/SG,Markelle Fultz (11656590),Markelle Fultz,11656590,PG/SG/G/UTIL,3400,PHO@PHI 11/19/2018 07:00PM ET,PHI,20.12
C,Nerlens Noel (11656594),Nerlens Noel,11656594,C/UTIL,3400,OKC@SAC 11/19/2018 10:00PM ET,OKC,17.47
